id,name,province,lat_actual,long_actual,lat_origin,long_origin,profile,region,district,Timezone
522,Lena,MB,48.999763,-99.659549,48.991247,-99.656922,FALSE,Prairie,Southern Manitoba,America/Winnipeg
523,Lyleton,MB,49.000514,-101.29513,48.992664,-101.300172,FALSE,Prairie,Southern Manitoba,America/Winnipeg
517,Piney,MB,49.000399,-95.978446,48.993481,-95.968901,FALSE,Prairie,Southern Manitoba,America/Winnipeg
509,Snowflake,MB,49.00081,-98.69408,48.992507,-98.69433,FALSE,Prairie,Southern Manitoba,America/Winnipeg
506,South Junction,MB,48.999618,-95.766425,48.991645,-95.768505,FALSE,Prairie,Southern Manitoba,America/Winnipeg
505,Sprague,MB,49.000095,-95.37657,48.991907,-95.371569,FALSE,Prairie,Southern Manitoba,America/Winnipeg
516,Tolstoi,MB,49.000359,-96.802492,48.992805,-96.800049,FALSE,Prairie,Southern Manitoba,America/Winnipeg
519,Windygates,MB,49.001112,-98.36013,48.994907,-98.364915,FALSE,Prairie,Southern Manitoba,America/Winnipeg
518,Winkler,MB,49.001084,-97.908587,48.992371,-97.906727,FALSE,Prairie,Southern Manitoba,America/Winnipeg
214,Andover,NB,46.764875,-67.7885,46.767635,-67.801245,FALSE,Atlantic,North-West New Brunswick,America/Halifax
200,Bloomfield,NB,46.317538,-67.7824,46.317545,-67.787862,FALSE,Atlantic,North-West New Brunswick,America/Halifax
225,Campobello,NB,44.860361,-66.976396,44.858509,-66.983145,FALSE,Atlantic,Southern New Brunswick and Prince Edward Island,America/Halifax
215,Centreville,NB,46.450398,-67.783635,46.448322,-67.791178,FALSE,Atlantic,North-West New Brunswick,America/Halifax
216,Clair,NB,47.250413,-68.605646,47.248269,-68.602354,FALSE,Atlantic,North-West New Brunswick,America/Halifax
213,Edmunston,NB,47.362104,-68.328298,47.356187,-68.328677,FALSE,Atlantic,North-West New Brunswick,America/Halifax
222,Forest City,NB,45.66342,-67.728256,45.657371,-67.727103,FALSE,Atlantic,North-West New Brunswick,America/Halifax
220,Fosterville,NB,45.816676,-67.779421,45.818091,-67.790671,FALSE,Atlantic,North-West New Brunswick,America/Halifax
203,Four Falls,NB,46.823483,-67.789123,46.814677,-67.789715,FALSE,Atlantic,North-West New Brunswick,America/Halifax
219,Gillespie Portage,NB,46.924718,-67.789219,46.923181,-67.794504,FALSE,Atlantic,North-West New Brunswick,America/Halifax
217,Grand Falls,NB,47.059674,-67.789296,47.066909,-67.797152,FALSE,Atlantic,North-West New Brunswick,America/Halifax
230,Milltown,NB,45.1706,-67.297061,45.168635,-67.293083,FALSE,Atlantic,Southern New Brunswick and Prince Edward Island,America/Halifax
226,River de Chute,NB,46.600257,-67.787371,46.604498,-67.7974,FALSE,Atlantic,North-West New Brunswick,America/Halifax
205,St. Croix,NB,45.568213,-67.427582,45.567795,-67.429814,FALSE,Atlantic,Southern New Brunswick and Prince Edward Island,America/Halifax
218,St. Leonard,NB,47.160898,-67.929655,47.154033,-67.929739,FALSE,Atlantic,North-West New Brunswick,America/Halifax
211,St. Stephen (Ferry Point Bridge),NB,45.192418,-67.283405,45.1894,-67.2822,FALSE,Atlantic,Southern New Brunswick and Prince Edward Island,America/Halifax
231,St. Stephen 3rd Bridge,NB,45.16136,-67.307517,45.161431,-67.291271,FALSE,Atlantic,Southern New Brunswick and Prince Edward Island,America/Halifax
212,Woodstock Road,NB,46.13765,-67.7784,46.134567,-67.781612,FALSE,Atlantic,North-West New Brunswick,America/Halifax
456,Landsdowne (Thousand Islands Bridge),ON,44.348528,-75.984114,44.340702,-75.980317,FALSE,Northern Ontario ,St. Lawrence,America/New_York
4272,Niagara Falls Rainbow Bridge,ON,43.092084,-79.069578,43.08888,-79.064737,FALSE,Southern Ontario,Niagara Falls,America/New_York
4271,Niagara Falls Whirlpool Birdge,ON,43.10923,-79.060134,43.109755,-79.05587,FALSE,Southern Ontario,Niagara Falls,America/New_York
453,Ambassador Bridge,ON,42.301273,-83.066005,42.310422,-83.073076,1,Southern Ontario,Windsor,America/Toronto
409,Cornwall Traffic Office,ON,45.010602,-74.737349,45.00275,-74.740574,FALSE,Northern Ontario ,Ottawa,America/Toronto
410,Fort Erie (Peace Bridge),ON,42.908479,-78.916813,42.906855,-78.904971,1,Southern Ontario,Fort Erie,America/Toronto
475,Pigeon River,ON,48.003661,-89.580957,47.998961,-89.592376,FALSE,Northern Ontario ,Northwestern Ontario ,America/Toronto
439,Prescott,ON,44.745238,-75.468898,44.737734,-75.461544,FALSE,Northern Ontario ,St. Lawrence,America/Toronto
427,Queenston Lewiston Bridge,ON,43.154644,-79.049258,43.15273,-79.034308,1,Southern Ontario,Niagara Falls,America/Toronto
440,Sarnia (Blue Water Bridge),ON,42.993422,-82.411883,42.998149,-82.42182,1,Southern Ontario,St. Clair,America/Toronto
441,Sault Ste. Marie Bridge,ON,46.519349,-84.349447,46.51341,-84.35871,FALSE,Northern Ontario ,Northwestern Ontario ,America/Toronto
452,Windsor-Detroit Tunnel,ON,42.315718,-83.036999,42.323663,-83.040198,FALSE,Southern Ontario,Fort Erie,America/Toronto
478,Fort Frances Bridge,ON,48.608524,-93.399916,48.60181,-93.402135,FALSE,Northern Ontario ,Northwestern Ontario ,America/Winnipeg
488,Rainy River,ON,48.720588,-94.586541,48.715794,-94.596272,FALSE,Northern Ontario ,Northwestern Ontario ,America/Winnipeg
318,Abercorn,QC,45.015805,-72.662406,45.007463,-72.660251,FALSE,Quebec,East Border,America/New_York
329,Armstrong,QC,45.8064,-70.397269,45.804352,-70.386158,FALSE,Quebec,East Border,America/New_York
365,Chartierville,QC,45.253721,-71.205572,45.247329,-71.196817,FALSE,Quebec,East Border,America/New_York
337,Clarenceville,QC,45.013399,-73.211327,45.005103,-73.214765,FALSE,Quebec,Monteregie,America/New_York
311,Covey Hill,QC,44.994252,-74.085962,44.986008,-74.084315,FALSE,Quebec,Monteregie,America/New_York
330,Dundee,QC,44.998426,-74.507923,44.994379,-74.497928,FALSE,Quebec,Monteregie,America/New_York
362,East Hereford,QC,45.014768,-71.505106,45.006368,-71.50833,FALSE,Quebec,East Border,America/New_York
369,East Pinnacle,QC,45.015835,-72.700084,45.010654,-72.691623,FALSE,Quebec,Monteregie,America/New_York
332,Frelighsburg,QC,45.016681,-72.825072,45.007555,-72.824508,FALSE,Quebec,Monteregie,America/New_York
370,Glen Sutton,QC,45.013134,-72.587132,45.008496,-72.589507,FALSE,Quebec,East Border,America/New_York
333,Hemmingford,QC,45.004748,-73.603422,44.998686,-73.594352,FALSE,Quebec,Monteregie,America/New_York
302,Herdman,QC,44.994231,-74.085947,44.986017,-74.08434,FALSE,Quebec,Monteregie,America/New_York
366,Hereford Road,QC,45.013094,-71.560592,45.007309,-71.555942,FALSE,Quebec,East Border,America/New_York
334,Highwater,QC,45.008233,-72.416692,45.000456,-72.411814,FALSE,Quebec,East Border,America/New_York
324,Lacolle: Route 221,QC,45.0114,-73.399156,45.003801,-73.403913,FALSE,Quebec,Monteregie,America/New_York
341,Lacolle: Route 223,QC,45.012593,-73.370493,45.004755,-73.368658,FALSE,Quebec,Monteregie,America/New_York
367,Morses Line,QC,45.014692,-72.978078,45.00695,-72.979396,FALSE,Quebec,Monteregie,America/New_York
368,Noyan,QC,45.011649,-73.296327,45.003445,-73.295814,FALSE,Quebec,Monteregie,America/New_York
331,Pohenegamook,QC,47.456253,-69.228501,47.450067,-69.234623,FALSE,Quebec,East Border,America/New_York
314,Stanstead(55),QC,45.006421,-72.087452,45.001226,-72.096345,FALSE,Quebec,East Border,America/New_York
376,Stanstead(Beebe),QC,45.00595,-72.142054,44.998897,-72.135362,FALSE,Quebec,East Border,America/New_York
375,Stanstead(Rte 143),QC,45.006476,-72.098847,44.999092,-72.103839,FALSE,Quebec,East Border,America/New_York
328,St-Armand/Philipsburg,QC,45.016525,-73.084195,45.008877,-73.085695,1,Quebec,Monteregie,America/New_York
351,St-Bernard-de-Lacolle: Highway 15,QC,45.009266,-73.451925,45.001434,-73.453778,1,Quebec,Monteregie,America/New_York
339,Ste-Aurelie,QC,46.207548,-70.276414,46.207861,-70.264349,FALSE,Quebec,East Border,America/New_York
335,St-Pamphile,QC,46.942739,-69.750714,46.937935,-69.743397,FALSE,Quebec,East Border,America/New_York
307,Trout River,QC,44.9920358,-74.3087304,44.98516,-74.303636,FALSE,Quebec,Monteregie,America/New_York
308,Woburn,QC,45.378687,-70.808529,45.383873,-70.800081,FALSE,Quebec,East Border,America/New_York
354,Stanhope,QC,45.0137,-71.790699,45.009949,-71.794349,FALSE,Quebec,East Border,America/Toronto
336,St-Just-de-Bretenieres,QC,46.546395,-70.031797,46.545342,-70.018683,FALSE,Quebec,East Border,America/Toronto
612,Carievale,SK,49.000987,-101.627989,48.992867,-101.62785,FALSE,Prairie,Saskatchewan,America/Regina
619,Climax,SK,48.999701,-108.388822,48.991349,-108.390411,FALSE,Prairie,Saskatchewan,America/Regina
615,Coronach,SK,49.00059,-105.407642,48.992522,-105.409313,FALSE,Prairie,Saskatchewan,America/Regina
610,Estevan Highway,SK,49.001535,-103.002383,48.993066,-103.005057,FALSE,Prairie,Saskatchewan,America/Regina
620,Monchy,SK,49.000311,-107.831831,48.992059,-107.830341,FALSE,Prairie,Saskatchewan,America/Regina
602,North Portal,SK,48.999432,-102.554542,48.992143,-102.542775,FALSE,Prairie,Saskatchewan,America/Regina
613,Northgate,SK,48.999638,-102.275121,48.992077,-102.270995,FALSE,Prairie,Saskatchewan,America/Regina
616,Oungre,SK,48.999867,-103.809325,48.992154,-103.806044,FALSE,Prairie,Saskatchewan,America/Regina
607,Regway,SK,49,-104.574478,48.992073,-104.574435,FALSE,Prairie,Saskatchewan,America/Regina
617,Torquay,SK,48.999539,-103.486794,48.991045,-103.486775,FALSE,Prairie,Saskatchewan,America/Regina
618,West Poplar,SK,49.000332,-106.37665,48.994493,-106.385991,FALSE,Prairie,Saskatchewan,America/Regina
621,Willow Creek,SK,49.000283,-109.731741,48.992088,-109.731447,FALSE,Prairie,Saskatchewan,America/Regina
892,Beaver Creek,YT,62.408797,-140.85943,62.417684,-140.854782,FALSE,Pacific,West Coast and Yukon,America/Whitehorse
895,Little Gold Creek,YT,64.085708,-141.000684,64.084227,-141.020126,FALSE,Pacific,West Coast and Yukon,America/Whitehorse
